,observational_dataset,period,temp_abs_avg,region
0,gswp3-w5e5,1901-1920,13.47926339191542,global
1,gswp3-w5e5,1981-2000,14.121550176063675,global
2,gswp3-w5e5,1995-2014,14.35524697608285,global
3,gswp3-w5e5,1901-1920,-10.628411579185709,global_glacier
4,gswp3-w5e5,1981-2000,-9.813883740717705,global_glacier
5,gswp3-w5e5,1995-2014,-9.134287274966288,global_glacier
6,gswp3-w5e5,1901-1920,-4.285196251225424,RGI01_glacier
7,gswp3-w5e5,1981-2000,-3.2756776689412304,RGI01_glacier
8,gswp3-w5e5,1995-2014,-3.1193499232514226,RGI01_glacier
9,gswp3-w5e5,1901-1920,0.2512311850437328,RGI02_glacier
10,gswp3-w5e5,1981-2000,1.2238062597895436,RGI02_glacier
11,gswp3-w5e5,1995-2014,1.2637524383340377,RGI02_glacier
12,gswp3-w5e5,1901-1920,-21.97981116968828,RGI03_glacier
13,gswp3-w5e5,1981-2000,-21.361625487896866,RGI03_glacier
14,gswp3-w5e5,1995-2014,-20.33405297915784,RGI03_glacier
15,gswp3-w5e5,1901-1920,-15.29063404085323,RGI04_glacier
16,gswp3-w5e5,1981-2000,-15.053355524331971,RGI04_glacier
17,gswp3-w5e5,1995-2014,-14.250434982982588,RGI04_glacier
18,gswp3-w5e5,1901-1920,-13.566047917332217,RGI05_glacier
19,gswp3-w5e5,1981-2000,-13.058210863062232,RGI05_glacier
20,gswp3-w5e5,1995-2014,-12.150544193047548,RGI05_glacier
21,gswp3-w5e5,1901-1920,-0.3426024979158626,RGI06_glacier
22,gswp3-w5e5,1981-2000,0.1695535743948568,RGI06_glacier
23,gswp3-w5e5,1995-2014,0.8833803384596649,RGI06_glacier
24,gswp3-w5e5,1901-1920,-10.181470989560946,RGI07_glacier
25,gswp3-w5e5,1981-2000,-8.680709848613096,RGI07_glacier
26,gswp3-w5e5,1995-2014,-7.264983714144182,RGI07_glacier
27,gswp3-w5e5,1901-1920,-0.2121562036731234,RGI08_glacier
28,gswp3-w5e5,1981-2000,0.34384082332448995,RGI08_glacier
29,gswp3-w5e5,1995-2014,0.8819140419281695,RGI08_glacier
30,gswp3-w5e5,1901-1920,-15.9527288393917,RGI09_glacier
31,gswp3-w5e5,1981-2000,-15.3443413135631,RGI09_glacier
32,gswp3-w5e5,1995-2014,-13.905020023753849,RGI09_glacier
33,gswp3-w5e5,1901-1920,-9.47948910949506,RGI10_glacier
34,gswp3-w5e5,1981-2000,-8.488507375589629,RGI10_glacier
35,gswp3-w5e5,1995-2014,-7.947491581237438,RGI10_glacier
36,gswp3-w5e5,1901-1920,1.226731897830072,RGI11_glacier
37,gswp3-w5e5,1981-2000,2.3754339159786726,RGI11_glacier
38,gswp3-w5e5,1995-2014,2.785007230349129,RGI11_glacier
39,gswp3-w5e5,1901-1920,-0.34951281366061265,RGI12_glacier
40,gswp3-w5e5,1981-2000,-0.11720947350522408,RGI12_glacier
41,gswp3-w5e5,1995-2014,0.4975581658125009,RGI12_glacier
42,gswp3-w5e5,1901-1920,-4.364366545967857,RGI13_glacier
43,gswp3-w5e5,1981-2000,-3.689287593248582,RGI13_glacier
44,gswp3-w5e5,1995-2014,-3.0892300403301958,RGI13_glacier
45,gswp3-w5e5,1901-1920,-1.8417308030748387,RGI14_glacier
46,gswp3-w5e5,1981-2000,-1.2061205801556212,RGI14_glacier
47,gswp3-w5e5,1995-2014,-0.634037163258597,RGI14_glacier
48,gswp3-w5e5,1901-1920,0.7230199182181053,RGI15_glacier
49,gswp3-w5e5,1981-2000,1.1717701551696849,RGI15_glacier
50,gswp3-w5e5,1995-2014,1.6561860838155724,RGI15_glacier
51,gswp3-w5e5,1901-1920,8.00422591455433,RGI16_glacier
52,gswp3-w5e5,1981-2000,8.45450475784782,RGI16_glacier
53,gswp3-w5e5,1995-2014,8.402851434330913,RGI16_glacier
54,gswp3-w5e5,1901-1920,3.8088197355321767,RGI17_glacier
55,gswp3-w5e5,1981-2000,3.987892307650614,RGI17_glacier
56,gswp3-w5e5,1995-2014,4.063821367312153,RGI17_glacier
57,gswp3-w5e5,1901-1920,5.099672489966309,RGI18_glacier
58,gswp3-w5e5,1981-2000,5.780316523629961,RGI18_glacier
59,gswp3-w5e5,1995-2014,5.918600794753326,RGI18_glacier
60,gswp3-w5e5,1901-1920,-12.213890143277132,RGI19_glacier
61,gswp3-w5e5,1981-2000,-10.794558079179666,RGI19_glacier
62,gswp3-w5e5,1995-2014,-10.421693248414552,RGI19_glacier
